Year,Month,Segment,Sub-Segment,Category,Subcategory,Tag,Amount,Quarter,Difference,Difference YTD Budget
2025.0,January,Mitra,VP 3P Mitra,,Total G&A (Include Depre + Others),Actual,-45150199.0,Q1,,
2025.0,January,Mitra,VP 3P Mitra,EBIT,EBIT,Actual,3833948658.0,Q1,,
2025.0,January,Mitra,VP 3P Mitra,EBITDA,EBITDA,Actual,3833948658.0,Q1,,
2025.0,February,Mitra,VP 3P Mitra,Revenue,Revenue,Actual,5315044261.0,Q1,,
2025.0,February,Mitra,VP 3P Mitra,COGS,COGS,Actual,0.0,Q1,,
2025.0,February,Mitra,VP 3P Mitra,GP,GP,Actual,5315044261.0,Q1,,
2025.0,February,Mitra,VP 3P Mitra,SM,S&M - O2O,Actual,-1249209808.0,Q1,,
2025.0,February,Mitra,VP 3P Mitra,SM,S&M - Offline,Actual,0.0,Q1,,
2025.0,February,Mitra,VP 3P Mitra,SM,S&M - Online,Actual,0.0,Q1,,
2025.0,February,Mitra,VP 3P Mitra,SM,S&M - Others,Actual,1945.0,Q1,,
2025.0,February,Mitra,VP 3P Mitra,SM,S&M - Others (FD & SS Cashback),Actual,0.0,Q1,,
2025.0,February,Mitra,VP 3P Mitra,SM,S&M - Payment Channel,Actual,0.0,Q1,,
2025.0,February,Mitra,VP 3P Mitra,SM,S&M - PCV,Actual,0.0,Q1,,
2025.0,February,Mitra,VP 3P Mitra,SM,S&M - Distribution Cost,Actual,0.0,Q1,,
2025.0,February,Mitra,VP 3P Mitra,,Total S&M,Actual,-1249207863.0,Q1,,
2025.0,February,Mitra,VP 3P Mitra,,CM,Actual,4065836398.0,Q1,,
2025.0,February,Mitra,VP 3P Mitra,GA,G&A - Staff Cost,Actual,0.0,Q1,,
2025.0,February,Mitra,VP 3P Mitra,GA,G&A - Other staff cost,Actual,-51822652.0,Q1,,
2025.0,February,Mitra,VP 3P Mitra,GA,G&A - Facility Management and Travelling,Actual,-5865719.0,Q1,,
2025.0,February,Mitra,VP 3P Mitra,GA,G&A - Consultancy cost,Actual,0.0,Q1,,
2025.0,February,Mitra,VP 3P Mitra,GA,G&A - Corporate Action (Adj. Total),Actual,0.0,Q1,,
2025.0,February,Mitra,VP 3P Mitra,GA,G&A - IT Cost,Actual,-7583334.0,Q1,,
2025.0,February,Mitra,VP 3P Mitra,GA,G&A - Depreciation,Actual,0.0,Q1,,
2025.0,February,Mitra,VP 3P Mitra,,Other income/(expenses) ,Actual,-199000.0,Q1,,
2025.0,February,Mitra,VP 3P Mitra,,Total G&A (Include Depre + Others),Actual,-65470705.0,Q1,,
2025.0,February,Mitra,VP 3P Mitra,EBIT,EBIT,Actual,4000365693.0,Q1,,
2025.0,February,Mitra,VP 3P Mitra,EBITDA,EBITDA,Actual,4000365693.0,Q1,,
,,Mitra,VP 3P Mitra,,,,,,,
2025.0,March,Mitra,VP 3P Mitra,Revenue,Revenue,Actual,6146187197.0,Q1,,
2025.0,March,Mitra,VP 3P Mitra,COGS,COGS,Actual,0.0,Q1,,
2025.0,March,Mitra,VP 3P Mitra,GP,GP,Actual,6146187197.0,Q1,,
2025.0,March,Mitra,VP 3P Mitra,SM,S&M - O2O,Actual,-2332381282.0,Q1,,
2025.0,March,Mitra,VP 3P Mitra,SM,S&M - Offline,Actual,0.0,Q1,,
2025.0,March,Mitra,VP 3P Mitra,SM,S&M - Online,Actual,0.0,Q1,,
2025.0,March,Mitra,VP 3P Mitra,SM,S&M - Others,Actual,0.0,Q1,,
2025.0,March,Mitra,VP 3P Mitra,SM,S&M - Others (FD & SS Cashback),Actual,0.0,Q1,,
2025.0,March,Mitra,VP 3P Mitra,SM,S&M - Payment Channel,Actual,0.0,Q1,,
2025.0,March,Mitra,VP 3P Mitra,SM,S&M - PCV,Actual,0.0,Q1,,
2025.0,March,Mitra,VP 3P Mitra,SM,S&M - Distribution Cost,Actual,0.0,Q1,,
2025.0,March,Mitra,VP 3P Mitra,,Total S&M,Actual,-2332381282.0,Q1,,
2025.0,March,Mitra,VP 3P Mitra,,CM,Actual,3813805915.0,Q1,,
2025.0,March,Mitra,VP 3P Mitra,GA,G&A - Staff Cost,Actual,0.0,Q1,,
2025.0,March,Mitra,VP 3P Mitra,GA,G&A - Other staff cost,Actual,-40565716.0,Q1,,
2025.0,March,Mitra,VP 3P Mitra,GA,G&A - Facility Management and Travelling,Actual,-12409671.0,Q1,,
2025.0,March,Mitra,VP 3P Mitra,GA,G&A - Consultancy cost,Actual,88361420.0,Q1,,
2025.0,March,Mitra,VP 3P Mitra,GA,G&A - Corporate Action (Adj. Total),Actual,0.0,Q1,,
2025.0,March,Mitra,VP 3P Mitra,GA,G&A - IT Cost,Actual,-10091619.0,Q1,,
2025.0,March,Mitra,VP 3P Mitra,GA,G&A - Depreciation,Actual,0.0,Q1,,
2025.0,March,Mitra,VP 3P Mitra,,Other income/(expenses) ,Actual,-386196.0,Q1,,
2025.0,March,Mitra,VP 3P Mitra,,Total G&A (Include Depre + Others),Actual,24908218.0,Q1,,
2025.0,March,Mitra,VP 3P Mitra,EBIT,EBIT,Actual,3838714133.0,Q1,,
2025.0,March,Mitra,VP 3P Mitra,EBITDA,EBITDA,Actual,3838714133.0,Q1,,
,,Mitra,VP 3P Mitra,,,,,,,
2025.0,April,Mitra,VP 3P Mitra,Revenue,Revenue,Actual,5541974203.0,Q2,,
2025.0,April,Mitra,VP 3P Mitra,COGS,COGS,Actual,0.0,Q2,,
2025.0,April,Mitra,VP 3P Mitra,GP,GP,Actual,5541974203.0,Q2,,
2025.0,April,Mitra,VP 3P Mitra,SM,S&M - O2O,Actual,-1934929452.0,Q2,,
2025.0,April,Mitra,VP 3P Mitra,SM,S&M - Offline,Actual,0.0,Q2,,
2025.0,April,Mitra,VP 3P Mitra,SM,S&M - Online,Actual,0.0,Q2,,
2025.0,April,Mitra,VP 3P Mitra,SM,S&M - Others,Actual,-3250000.0,Q2,,
2025.0,April,Mitra,VP 3P Mitra,SM,S&M - Others (FD & SS Cashback),Actual,0.0,Q2,,
2025.0,April,Mitra,VP 3P Mitra,SM,S&M - Payment Channel,Actual,0.0,Q2,,
2025.0,April,Mitra,VP 3P Mitra,SM,S&M - PCV,Actual,0.0,Q2,,
2025.0,April,Mitra,VP 3P Mitra,SM,S&M - Distribution Cost,Actual,0.0,Q2,,
2025.0,April,Mitra,VP 3P Mitra,,Total S&M,Actual,-1938179452.0,Q2,,
2025.0,April,Mitra,VP 3P Mitra,,CM,Actual,3603794751.0,Q2,,
2025.0,April,Mitra,VP 3P Mitra,GA,G&A - Staff Cost,Actual,0.0,Q2,,
2025.0,April,Mitra,VP 3P Mitra,GA,G&A - Other staff cost,Actual,-57754057.0,Q2,,
2025.0,April,Mitra,VP 3P Mitra,GA,G&A - Facility Management and Travelling,Actual,-1541130.0,Q2,,
2025.0,April,Mitra,VP 3P Mitra,GA,G&A - Consultancy cost,Actual,0.0,Q2,,
2025.0,April,Mitra,VP 3P Mitra,GA,G&A - Corporate Action (Adj. Total),Actual,0.0,Q2,,
2025.0,April,Mitra,VP 3P Mitra,GA,G&A - IT Cost,Actual,-1500000.0,Q2,,
2025.0,April,Mitra,VP 3P Mitra,GA,G&A - Depreciation,Actual,0.0,Q2,,
2025.0,April,Mitra,VP 3P Mitra,,Other income/(expenses) ,Actual,-274079.0,Q2,,
2025.0,April,Mitra,VP 3P Mitra,,Total G&A (Include Depre + Others),Actual,-61069266.0,Q2,,
2025.0,April,Mitra,VP 3P Mitra,EBIT,EBIT,Actual,3542725485.0,Q2,,
2025.0,April,Mitra,VP 3P Mitra,EBITDA,EBITDA,Actual,3542725485.0,Q2,,
,,Mitra,VP 3P Mitra,,,,,,,
2025.0,May,Mitra,VP 3P Mitra,Revenue,Revenue,Actual,5831198695.0,Q2,,
2025.0,May,Mitra,VP 3P Mitra,COGS,COGS,Actual,-46670698.0,Q2,,
2025.0,May,Mitra,VP 3P Mitra,GP,GP,Actual,5784527997.0,Q2,,
2025.0,May,Mitra,VP 3P Mitra,SM,S&M - O2O,Actual,-1847842379.0,Q2,,
2025.0,May,Mitra,VP 3P Mitra,SM,S&M - Offline,Actual,0.0,Q2,,
2025.0,May,Mitra,VP 3P Mitra,SM,S&M - Online,Actual,0.0,Q2,,
2025.0,May,Mitra,VP 3P Mitra,SM,S&M - Others,Actual,-2010500.0,Q2,,
2025.0,May,Mitra,VP 3P Mitra,SM,S&M - Others (FD & SS Cashback),Actual,0.0,Q2,,
2025.0,May,Mitra,VP 3P Mitra,SM,S&M - Payment Channel,Actual,0.0,Q2,,
2025.0,May,Mitra,VP 3P Mitra,SM,S&M - PCV,Actual,0.0,Q2,,
2025.0,May,Mitra,VP 3P Mitra,SM,S&M - Distribution Cost,Actual,0.0,Q2,,
2025.0,May,Mitra,VP 3P Mitra,,Total S&M,Actual,-1849852879.0,Q2,,
2025.0,May,Mitra,VP 3P Mitra,,CM,Actual,3934675118.0,Q2,,
2025.0,May,Mitra,VP 3P Mitra,GA,G&A - Staff Cost,Actual,0.0,Q2,,
2025.0,May,Mitra,VP 3P Mitra,GA,G&A - Other staff cost,Actual,-43107267.0,Q2,,
2025.0,May,Mitra,VP 3P Mitra,GA,G&A - Facility Management and Travelling,Actual,-972364.0,Q2,,
2025.0,May,Mitra,VP 3P Mitra,GA,G&A - Consultancy cost,Actual,0.0,Q2,,
2025.0,May,Mitra,VP 3P Mitra,GA,G&A - Corporate Action (Adj. Total),Actual,0.0,Q2,,
2025.0,May,Mitra,VP 3P Mitra,GA,G&A - IT Cost,Actual,916667.0,Q2,,
2025.0,May,Mitra,VP 3P Mitra,GA,G&A - Depreciation,Actual,0.0,Q2,,
2025.0,May,Mitra,VP 3P Mitra,,Other income/(expenses) ,Actual,-1363580.0,Q2,,
2025.0,May,Mitra,VP 3P Mitra,,Total G&A (Include Depre + Others),Actual,-44526544.0,Q2,,
2025.0,May,Mitra,VP 3P Mitra,EBIT,EBIT,Actual,3890148574.0,Q2,,
2025.0,May,Mitra,VP 3P Mitra,EBITDA,EBITDA,Actual,3890148574.0,Q2,,
,,Mitra,VP 3P Mitra,,,,,,,
2025.0,June,Mitra,VP 3P Mitra,Revenue,Revenue,Actual,5753850861.0,Q2,,
2025.0,June,Mitra,VP 3P Mitra,COGS,COGS,Actual,0.0,Q2,,
2025.0,June,Mitra,VP 3P Mitra,GP,GP,Actual,5753850861.0,Q2,,
2025.0,June,Mitra,VP 3P Mitra,SM,S&M - O2O,Actual,-1493773071.0,Q2,,
2025.0,June,Mitra,VP 3P Mitra,SM,S&M - Offline,Actual,0.0,Q2,,
2025.0,June,Mitra,VP 3P Mitra,SM,S&M - Online,Actual,0.0,Q2,,
2025.0,June,Mitra,VP 3P Mitra,SM,S&M - Others,Actual,-2000500.0,Q2,,
2025.0,June,Mitra,VP 3P Mitra,SM,S&M - Others (FD & SS Cashback),Actual,0.0,Q2,,
2025.0,June,Mitra,VP 3P Mitra,SM,S&M - Payment Channel,Actual,0.0,Q2,,
2025.0,June,Mitra,VP 3P Mitra,SM,S&M - PCV,Actual,0.0,Q2,,
2025.0,June,Mitra,VP 3P Mitra,SM,S&M - Distribution Cost,Actual,0.0,Q2,,
2025.0,June,Mitra,VP 3P Mitra,,Total S&M,Actual,-1495773571.0,Q2,,
2025.0,June,Mitra,VP 3P Mitra,,CM,Actual,4258077290.0,Q2,,
2025.0,June,Mitra,VP 3P Mitra,GA,G&A - Staff Cost,Actual,0.0,Q2,,
2025.0,June,Mitra,VP 3P Mitra,GA,G&A - Other staff cost,Actual,-94970893.0,Q2,,
2025.0,June,Mitra,VP 3P Mitra,GA,G&A - Facility Management and Travelling,Actual,16942459.0,Q2,,
2025.0,June,Mitra,VP 3P Mitra,GA,G&A - Consultancy cost,Actual,-500000.0,Q2,,
2025.0,June,Mitra,VP 3P Mitra,GA,G&A - Corporate Action (Adj. Total),Actual,0.0,Q2,,
2025.0,June,Mitra,VP 3P Mitra,GA,G&A - IT Cost,Actual,-3448203.0,Q2,,
2025.0,June,Mitra,VP 3P Mitra,GA,G&A - Depreciation,Actual,0.0,Q2,,
2025.0,June,Mitra,VP 3P Mitra,,Other income/(expenses) ,Actual,-400000.0,Q2,,
2025.0,June,Mitra,VP 3P Mitra,,Total G&A (Include Depre + Others),Actual,-82376637.0,Q2,,
2025.0,June,Mitra,VP 3P Mitra,EBIT,EBIT,Actual,4175700653.0,Q2,,
2025.0,June,Mitra,VP 3P Mitra,EBITDA,EBITDA,Actual,4175700653.0,Q2,,
,,Mitra,VP 3P Mitra,,,,,,,
2025.0,July,Mitra,VP 3P Mitra,Revenue,Revenue,Actual,5994045301.0,Q3,,
2025.0,July,Mitra,VP 3P Mitra,COGS,COGS,Actual,0.0,Q3,,
2025.0,July,Mitra,VP 3P Mitra,GP,GP,Actual,5994045301.0,Q3,,
2025.0,July,Mitra,VP 3P Mitra,SM,S&M - O2O,Actual,-1908477113.0,Q3,,
2025.0,July,Mitra,VP 3P Mitra,SM,S&M - Offline,Actual,0.0,Q3,,
2025.0,July,Mitra,VP 3P Mitra,SM,S&M - Online,Actual,0.0,Q3,,
2025.0,July,Mitra,VP 3P Mitra,SM,S&M - Others,Actual,-1450000.0,Q3,,
2025.0,July,Mitra,VP 3P Mitra,SM,S&M - Others (FD & SS Cashback),Actual,0.0,Q3,,
2025.0,July,Mitra,VP 3P Mitra,SM,S&M - Payment Channel,Actual,0.0,Q3,,
2025.0,July,Mitra,VP 3P Mitra,SM,S&M - PCV,Actual,0.0,Q3,,
2025.0,July,Mitra,VP 3P Mitra,SM,S&M - Distribution Cost,Actual,0.0,Q3,,
2025.0,July,Mitra,VP 3P Mitra,,Total S&M,Actual,-1909927113.0,Q3,,
2025.0,July,Mitra,VP 3P Mitra,,CM,Actual,4084118188.0,Q3,,
2025.0,July,Mitra,VP 3P Mitra,GA,G&A - Staff Cost,Actual,0.0,Q3,,
2025.0,July,Mitra,VP 3P Mitra,GA,G&A - Other staff cost,Actual,-47739254.0,Q3,,
2025.0,July,Mitra,VP 3P Mitra,GA,G&A - Facility Management and Travelling,Actual,-835500.0,Q3,,
2025.0,July,Mitra,VP 3P Mitra,GA,G&A - Consultancy cost,Actual,0.0,Q3,,
2025.0,July,Mitra,VP 3P Mitra,GA,G&A - Corporate Action (Adj. Total),Actual,0.0,Q3,,
2025.0,July,Mitra,VP 3P Mitra,GA,G&A - IT Cost,Actual,-33905618.0,Q3,,
2025.0,July,Mitra,VP 3P Mitra,GA,G&A - Depreciation,Actual,0.0,Q3,,
2025.0,July,Mitra,VP 3P Mitra,,Other income/(expenses) ,Actual,-600000.0,Q3,,
2025.0,July,Mitra,VP 3P Mitra,,Total G&A (Include Depre + Others),Actual,-83080372.0,Q3,,
2025.0,July,Mitra,VP 3P Mitra,EBIT,EBIT,Actual,4001037816.0,Q3,,
2025.0,July,Mitra,VP 3P Mitra,EBITDA,EBITDA,Actual,4001037816.0,Q3,,
,,Mitra,VP 3P Mitra,,,,,,,
2025.0,August,Mitra,VP 3P Mitra,Revenue,Revenue,Actual,5963030235.0,Q3,,
2025.0,August,Mitra,VP 3P Mitra,COGS,COGS,Actual,0.0,Q3,,
2025.0,August,Mitra,VP 3P Mitra,GP,GP,Actual,5963030235.0,Q3,,
2025.0,August,Mitra,VP 3P Mitra,SM,S&M - O2O,Actual,-1507275598.0,Q3,,
2025.0,August,Mitra,VP 3P Mitra,SM,S&M - Offline,Actual,0.0,Q3,,
2025.0,August,Mitra,VP 3P Mitra,SM,S&M - Online,Actual,0.0,Q3,,
2025.0,August,Mitra,VP 3P Mitra,SM,S&M - Others,Actual,-2000000.0,Q3,,
2025.0,August,Mitra,VP 3P Mitra,SM,S&M - Others (FD & SS Cashback),Actual,0.0,Q3,,
2025.0,August,Mitra,VP 3P Mitra,SM,S&M - Payment Channel,Actual,0.0,Q3,,
2025.0,August,Mitra,VP 3P Mitra,SM,S&M - PCV,Actual,0.0,Q3,,
2025.0,August,Mitra,VP 3P Mitra,SM,S&M - Distribution Cost,Actual,0.0,Q3,,
2025.0,August,Mitra,VP 3P Mitra,,Total S&M,Actual,-1509275598.0,Q3,,
2025.0,August,Mitra,VP 3P Mitra,,CM,Actual,4453754637.0,Q3,,
2025.0,August,Mitra,VP 3P Mitra,GA,G&A - Staff Cost,Actual,0.0,Q3,,
2025.0,August,Mitra,VP 3P Mitra,GA,G&A - Other staff cost,Actual,-62959986.0,Q3,,
2025.0,August,Mitra,VP 3P Mitra,GA,G&A - Facility Management and Travelling,Actual,-1116600.0,Q3,,
2025.0,August,Mitra,VP 3P Mitra,GA,G&A - Consultancy cost,Actual,0.0,Q3,,
2025.0,August,Mitra,VP 3P Mitra,GA,G&A - Corporate Action (Adj. Total),Actual,0.0,Q3,,
2025.0,August,Mitra,VP 3P Mitra,GA,G&A - IT Cost,Actual,-16179035.0,Q3,,
2025.0,August,Mitra,VP 3P Mitra,GA,G&A - Depreciation,Actual,0.0,Q3,,
2025.0,August,Mitra,VP 3P Mitra,,Other income/(expenses) ,Actual,-764414.0,Q3,,
2025.0,August,Mitra,VP 3P Mitra,,Total G&A (Include Depre + Others),Actual,-81020035.0,Q3,,
2025.0,August,Mitra,VP 3P Mitra,EBIT,EBIT,Actual,4372734602.0,Q3,,
2025.0,August,Mitra,VP 3P Mitra,EBITDA,EBITDA,Actual,4372734602.0,Q3,,
,,Mitra,VP 3P Mitra,,,,,,,
2025.0,September,Mitra,VP 3P Mitra,Revenue,Revenue,Actual,5300536925.0,Q3,,
2025.0,September,Mitra,VP 3P Mitra,COGS,COGS,Actual,0.0,Q3,,
2025.0,September,Mitra,VP 3P Mitra,GP,GP,Actual,5300536925.0,Q3,,
2025.0,September,Mitra,VP 3P Mitra,SM,S&M - O2O,Actual,-1824240349.0,Q3,,
2025.0,September,Mitra,VP 3P Mitra,SM,S&M - Offline,Actual,0.0,Q3,,
2025.0,September,Mitra,VP 3P Mitra,SM,S&M - Online,Actual,0.0,Q3,,
2025.0,September,Mitra,VP 3P Mitra,SM,S&M - Others,Actual,-2000000.0,Q3,,
2025.0,September,Mitra,VP 3P Mitra,SM,S&M - Others (FD & SS Cashback),Actual,0.0,Q3,,
2025.0,September,Mitra,VP 3P Mitra,SM,S&M - Payment Channel,Actual,0.0,Q3,,
2025.0,September,Mitra,VP 3P Mitra,SM,S&M - PCV,Actual,0.0,Q3,,
2025.0,September,Mitra,VP 3P Mitra,SM,S&M - Distribution Cost,Actual,-35280.0,Q3,,
2025.0,September,Mitra,VP 3P Mitra,,Total S&M,Actual,-1826275629.0,Q3,,
2025.0,September,Mitra,VP 3P Mitra,,CM,Actual,3474261296.0,Q3,,
2025.0,September,Mitra,VP 3P Mitra,GA,G&A - Staff Cost,Actual,0.0,Q3,,
2025.0,September,Mitra,VP 3P Mitra,GA,G&A - Other staff cost,Actual,-96857516.0,Q3,,
2025.0,September,Mitra,VP 3P Mitra,GA,G&A - Facility Management and Travelling,Actual,-6870056.0,Q3,,
2025.0,September,Mitra,VP 3P Mitra,GA,G&A - Consultancy cost,Actual,0.0,Q3,,
2025.0,September,Mitra,VP 3P Mitra,GA,G&A - Corporate Action (Adj. Total),Actual,0.0,Q3,,
2025.0,September,Mitra,VP 3P Mitra,GA,G&A - IT Cost,Actual,-5920547.0,Q3,,
2025.0,September,Mitra,VP 3P Mitra,GA,G&A - Depreciation,Actual,0.0,Q3,,
2025.0,September,Mitra,VP 3P Mitra,,Other income/(expenses) ,Actual,-1191272.0,Q3,,
2025.0,September,Mitra,VP 3P Mitra,,Total G&A (Include Depre + Others),Actual,-110839391.0,Q3,,
2025.0,September,Mitra,VP 3P Mitra,EBIT,EBIT,Actual,3363421905.0,Q3,,
2025.0,September,Mitra,VP 3P Mitra,EBITDA,EBITDA,Actual,3363421905.0,Q3,,
,,Mitra,VP 3P Mitra,,,,,,,
2025.0,October,Mitra,VP 3P Mitra,Revenue,Revenue,Actual,5377577868.0,Q4,,
2025.0,October,Mitra,VP 3P Mitra,COGS,COGS,Actual,0.0,Q4,,
2025.0,October,Mitra,VP 3P Mitra,GP,GP,Actual,5377577868.0,Q4,,
2025.0,October,Mitra,VP 3P Mitra,SM,S&M - O2O,Actual,-1450416808.0,Q4,,
2025.0,October,Mitra,VP 3P Mitra,SM,S&M - Offline,Actual,0.0,Q4,,
2025.0,October,Mitra,VP 3P Mitra,SM,S&M - Online,Actual,0.0,Q4,,
2025.0,October,Mitra,VP 3P Mitra,SM,S&M - Others,Actual,-2000000.0,Q4,,
2025.0,October,Mitra,VP 3P Mitra,SM,S&M - Others (FD & SS Cashback),Actual,0.0,Q4,,
2025.0,October,Mitra,VP 3P Mitra,SM,S&M - Payment Channel,Actual,0.0,Q4,,
2025.0,October,Mitra,VP 3P Mitra,SM,S&M - PCV,Actual,0.0,Q4,,
2025.0,October,Mitra,VP 3P Mitra,SM,S&M - Distribution Cost,Actual,0.0,Q4,,
2025.0,October,Mitra,VP 3P Mitra,,Total S&M,Actual,-1452416808.0,Q4,,
2025.0,October,Mitra,VP 3P Mitra,,CM,Actual,3925161060.0,Q4,,
2025.0,October,Mitra,VP 3P Mitra,GA,G&A - Staff Cost,Actual,0.0,Q4,,
2025.0,October,Mitra,VP 3P Mitra,GA,G&A - Other staff cost,Actual,-310538816.0,Q4,,
2025.0,October,Mitra,VP 3P Mitra,GA,G&A - Facility Management and Travelling,Actual,-9614225.0,Q4,,
2025.0,October,Mitra,VP 3P Mitra,GA,G&A - Consultancy cost,Actual,0.0,Q4,,
2025.0,October,Mitra,VP 3P Mitra,GA,G&A - Corporate Action (Adj. Total),Actual,0.0,Q4,,
2025.0,October,Mitra,VP 3P Mitra,GA,G&A - IT Cost,Actual,-7526740.0,Q4,,
2025.0,October,Mitra,VP 3P Mitra,GA,G&A - Depreciation,Actual,0.0,Q4,,
2025.0,October,Mitra,VP 3P Mitra,,Other income/(expenses) ,Actual,-400000.0,Q4,,
2025.0,October,Mitra,VP 3P Mitra,,Total G&A (Include Depre + Others),Actual,-328079781.0,Q4,,
2025.0,October,Mitra,VP 3P Mitra,EBIT,EBIT,Actual,3597081279.0,Q4,,
2025.0,October,Mitra,VP 3P Mitra,EBITDA,EBITDA,Actual,3597081279.0,Q4,,
,,Mitra,VP 3P Mitra,,,,,,,
2025.0,November,Mitra,VP 3P Mitra,Revenue,Revenue,Actual,5541350643.0,Q4,,
2025.0,November,Mitra,VP 3P Mitra,COGS,COGS,Actual,0.0,Q4,,
2025.0,November,Mitra,VP 3P Mitra,GP,GP,Actual,5541350643.0,Q4,,
2025.0,November,Mitra,VP 3P Mitra,SM,S&M - O2O,Actual,-1689152377.0,Q4,,
2025.0,November,Mitra,VP 3P Mitra,SM,S&M - Offline,Actual,0.0,Q4,,
2025.0,November,Mitra,VP 3P Mitra,SM,S&M - Online,Actual,0.0,Q4,,
2025.0,November,Mitra,VP 3P Mitra,SM,S&M - Others,Actual,-2000000.0,Q4,,
2025.0,November,Mitra,VP 3P Mitra,SM,S&M - Others (FD & SS Cashback),Actual,0.0,Q4,,
2025.0,November,Mitra,VP 3P Mitra,SM,S&M - Payment Channel,Actual,0.0,Q4,,
2025.0,November,Mitra,VP 3P Mitra,SM,S&M - PCV,Actual,0.0,Q4,,
2025.0,November,Mitra,VP 3P Mitra,SM,S&M - Distribution Cost,Actual,-720.0,Q4,,
2025.0,November,Mitra,VP 3P Mitra,,Total S&M,Actual,-1691153097.0,Q4,,
2025.0,November,Mitra,VP 3P Mitra,,CM,Actual,3850197546.0,Q4,,
2025.0,November,Mitra,VP 3P Mitra,GA,G&A - Staff Cost,Actual,0.0,Q4,,
2025.0,November,Mitra,VP 3P Mitra,GA,G&A - Other staff cost,Actual,-277637366.0,Q4,,
2025.0,November,Mitra,VP 3P Mitra,GA,G&A - Facility Management and Travelling,Actual,-422785.0,Q4,,
2025.0,November,Mitra,VP 3P Mitra,GA,G&A - Consultancy cost,Actual,0.0,Q4,,
2025.0,November,Mitra,VP 3P Mitra,GA,G&A - Corporate Action (Adj. Total),Actual,0.0,Q4,,
2025.0,November,Mitra,VP 3P Mitra,GA,G&A - IT Cost,Actual,-35340860.0,Q4,,
2025.0,November,Mitra,VP 3P Mitra,GA,G&A - Depreciation,Actual,0.0,Q4,,
2025.0,November,Mitra,VP 3P Mitra,,Other income/(expenses) ,Actual,-966000.0,Q4,,
2025.0,November,Mitra,VP 3P Mitra,,Total G&A (Include Depre + Others),Actual,-314367011.0,Q4,,
2025.0,November,Mitra,VP 3P Mitra,EBIT,EBIT,Actual,3535830535.0,Q4,,
2025.0,November,Mitra,VP 3P Mitra,EBITDA,EBITDA,Actual,3535830535.0,Q4,,
,,Mitra,VP 3P Mitra,,,,,,,
2025.0,December,Mitra,VP 3P Mitra,Revenue,Revenue,Actual,5016451379.0,Q4,,
2025.0,December,Mitra,VP 3P Mitra,COGS,COGS,Actual,0.0,Q4,,
2025.0,December,Mitra,VP 3P Mitra,GP,GP,Actual,5016451379.0,Q4,,
2025.0,December,Mitra,VP 3P Mitra,SM,S&M - O2O,Actual,-1346881736.0,Q4,,
2025.0,December,Mitra,VP 3P Mitra,SM,S&M - Offline,Actual,0.0,Q4,,
2025.0,December,Mitra,VP 3P Mitra,SM,S&M - Online,Actual,0.0,Q4,,
2025.0,December,Mitra,VP 3P Mitra,SM,S&M - Others,Actual,-2000000.0,Q4,,
2025.0,December,Mitra,VP 3P Mitra,SM,S&M - Others (FD & SS Cashback),Actual,0.0,Q4,,
2025.0,December,Mitra,VP 3P Mitra,SM,S&M - Payment Channel,Actual,0.0,Q4,,
